compte_aux;intitule;non_echu;0_30j;31_60j;61_90j;plus_90j
C001;Bâtiplace SARL;33832,53;15378,42;7381,64;3075,68;1845,41
C002;Verrería del Sur SL;84574,05;38442,75;18452,52;7688,55;4613,13
C003;Menuiseries Chartier SAS;58931,60;26787,09;12857,80;5357,42;3214,45
C004;Groupe Immovance SA;69694,26;46462,84;27877,70;23231,42;65047,98
C005;Façades Rhôdaniennes SARL;92256,97;41934,99;20128,80;8387,00;5032,20
C006;Constructions Peyrelle SAS;78385,66;50720,13;27665,52;23054,60;50720,13
C007;Atelier Lumière & Verre EURL;41735,23;18970,56;9105,87;3794,11;2276,47
C008;Habitat Confluence SAS;27134,45;12333,84;5920,24;2466,77;1480,06
C009;Négoce Vitrages Réunis SARL;70197,67;31908,03;15315,85;6381,61;3828,96
C010;Promoteurs du Forez SA;73518,20;33417,36;16040,33;6683,47;4010,08
C011;Serres & Vérandas Alpines SAS;55141,48;25064,31;12030,87;5012,86;3007,72
C012;Tertiaire Bâtir SAS;49064,40;22302,00;10704,96;4460,40;2676,24
